tract,Neighborhood,City,State,Teenage Birth Rate,Race
24510200701,Allendale, Baltimore, MD,0.4713,Black
24510270101,Arcadia, Baltimore, MD,0.582,Black
24510271801,Arlington, Baltimore, MD,0.5628,Black
24510260404,Baltimore Highlands, Baltimore, MD,0.539,Black
24510260800,Baltimore Highlands, Baltimore, MD,0.3809,Black
24510120400,Barclay, Baltimore, MD,0.6161,Black
24510250101,Beechfield, Baltimore, MD,0.5453,Black
24510080102,Belair - Edison, Baltimore, MD,0.5786,Black
24510080101,Belair - Edison, Baltimore, MD,0.5587,Black
24510260301,Belair - Edison, Baltimore, MD,0.5383,Black
24510260302,Belair - Edison, Baltimore, MD,0.4931,Black
24510200300,Bentalou-Smallwood, Baltimore, MD,0.657,Black
24510080302,Berea, Baltimore, MD,0.5916,Black
24510080301,Berea, Baltimore, MD,0.5647,Black
24510090500,Better Waverly, Baltimore, MD,0.5767,Black
24510090400,Better Waverly, Baltimore, MD,0.5657,Black
24510140100,Bolton Hill, Baltimore, MD,0.5896,Black
24510160500,Bridgeview-Greenlawn, Baltimore, MD,0.4876,Black
24510080600,Broadway East, Baltimore, MD,0.6168,Black
24510080200,Broadway East, Baltimore, MD,0.5918,Black
24510080800,Broadway East, Baltimore, MD,0.5905,Black
24510080700,Broadway East, Baltimore, MD,0.5726,Black
24510080400,Broadway East, Baltimore, MD,0.5398,Black
24510250402,Brooklyn, Baltimore, MD,0.5641,Black
24510250401,Brooklyn, Baltimore, MD,0.5354,Black
24003750201,Brooklyn, Baltimore, MD,0.3509,Black
24510150500,Burleith-Leighton, Baltimore, MD,0.5875,Black
24510060300,Butchers Hill, Baltimore, MD,0.6198,Black
24510260101,Cedmont, Baltimore, MD,0.5936,Black
24510260403,Cedonia, Baltimore, MD,0.5808,Black
24510151300,Central Park Heights, Baltimore, MD,0.5356,Black
24510271700,Central Park Heights, Baltimore, MD,0.4682,Black
24510250204,Cherry Hill, Baltimore, MD,0.6454,Black
24510250203,Cherry Hill, Baltimore, MD,0.5824,Black
24510250207,Cherry Hill, Baltimore, MD,0.5206,Black
24510260303,Claremont - Freedom, Baltimore, MD,0.5231,Black
24510130805,Cold Springs, Baltimore, MD,0.356,Black
24510090700,Coldstream - Homestead - Montebello, Baltimore, MD,0.5813,Black
24510090600,Coldstream - Homestead - Montebello, Baltimore, MD,0.5223,Black
24510150300,Coppin Heights, Baltimore, MD,0.5362,Black
24510272005,Cross Country, Baltimore, MD,0.4521,Black
24510250500,Curtis Bay, Baltimore, MD,0.4167,Black
24510080500,Darley Park, Baltimore, MD,0.5946,Black
24510151000,Dorchester, Baltimore, MD,0.4987,Black
24510040100,Downtown, Baltimore, MD,0.6792,Black
24510110200,Downtown, Baltimore, MD,0.62,Black
24510040200,Downtown, Baltimore, MD,0.5577,Black
24510170100,Downtown, Baltimore, MD,0.495,Black
24510110100,Downtown, Baltimore, MD,0.3725,Black
24510140300,Druid Heights, Baltimore, MD,0.5269,Black
24510151100,East Arlington, Baltimore, MD,0.4129,Black
24510090800,East Baltimore Midway, Baltimore, MD,0.5597,Black
24510271600,Edgecomb, Baltimore, MD,0.5216,Black
24510160802,Edmondson, Baltimore, MD,0.4973,Black
24510160801,Edmondson, Baltimore, MD,0.491,Black
24510090200,Ednor Gardens - Lakeside, Baltimore, MD,0.4989,Black
24510090100,Ednor Gardens - Lakeside, Baltimore, MD,0.4777,Black
24510090300,Ednor Gardens - Lakeside, Baltimore, MD,0.4303,Black
24510272007,Fallstaff, Baltimore, MD,0.4964,Black
24510260402,Frankford, Baltimore, MD,0.5464,Black
24510260102,Frankford, Baltimore, MD,0.5272,Black
24510260201,Frankford, Baltimore, MD,0.4947,Black
24510260203,Frankford, Baltimore, MD,0.4286,Black
24510190100,Franklin Square, Baltimore, MD,0.5455,Black
24510150800,Garwyn Oaks, Baltimore, MD,0.5237,Black
24510070400,Gay Street, Baltimore, MD,0.5839,Black
24510272006,Glen, Baltimore, MD,0.5623,Black
24510271900,Glen, Baltimore, MD,0.4498,Black
24510270402,Glenham-Belford, Baltimore, MD,0.7035,Black
24510270401,Glenham-Belford, Baltimore, MD,0.3863,Black
24510120500,Greenmount West, Baltimore, MD,0.5504,Black
24510280301,Gwynn Oak, Baltimore, MD,0.5439,Black
24005403202,Gwynn Oak, Baltimore, MD,0.4835,Black
24510280200,Gwynn Oak, Baltimore, MD,0.4773,Black
24005402304,Gwynn Oak, Baltimore, MD,0.4569,Black
24005401302,Gwynn Oak, Baltimore, MD,0.3894,Black
24510280102,Gwynn Oak, Baltimore, MD,0.3844,Black
24005402405,Gwynn Oak, Baltimore, MD,0.3662,Black
24005402403,Gwynn Oak, Baltimore, MD,0.3478,Black
24510150701,Hanlon Longwood, Baltimore, MD,0.4818,Black
24510270702,Harford - Echodale - Perring Parkway, Baltimore, MD,0.5162,Black
24510270701,Harford - Echodale - Perring Parkway, Baltimore, MD,0.4967,Black
24510270600,Harford - Echodale - Perring Parkway, Baltimore, MD,0.3714,Black
24510160100,Harlem Park, Baltimore, MD,0.5496,Black
24510120300,Harwood, Baltimore, MD,0.5636,Black
24510270903,Hillen, Baltimore, MD,0.4457,Black
24510180300,Hollins Market, Baltimore, MD,0.5113,Black
24510271200,Homeland, Baltimore, MD,0.2738,Black
24510270801,Idlewood, Baltimore, MD,0.3951,Black
24510200800,Irvington, Baltimore, MD,0.5229,Black
24510280404,Irvington, Baltimore, MD,0.464,Black
24510100100,Johnson Square, Baltimore, MD,0.5634,Black
24510270804,Lake Walker, Baltimore, MD,0.5048,Black
24510250205,Lakeland, Baltimore, MD,0.4163,Black
24510271802,Langston Hughes, Baltimore, MD,0.6145,Black
24510270200,Lauraville, Baltimore, MD,0.4124,Black
24510270301,Lauraville, Baltimore, MD,0.2804,Black
24510200100,Lexington, Baltimore, MD,0.6368,Black
24510200200,Lexington, Baltimore, MD,0.5146,Black
24510030200,Little Italy, Baltimore, MD,0.6689,Black
24510270803,Loch Raven, Baltimore, MD,0.4281,Black
24510070200,Madison - Eastend, Baltimore, MD,0.5709,Black
24510170200,McCulloh Homes, Baltimore, MD,0.6106,Black
24510130803,Medfield, Baltimore, MD,0.5309,Black
24510260605,Medford - Broening, Baltimore, MD,0.5766,Black
24510270805,Mid-Govans, Baltimore, MD,0.4443,Black
24510160400,Midtown Edmondson, Baltimore, MD,0.5418,Black
24510200500,Mill Hill, Baltimore, MD,0.7126,Black
24510070300,Milton - Montford, Baltimore, MD,0.5549,Black
24510150400,Mondawmin, Baltimore, MD,0.5032,Black
24510160600,Mosher, Baltimore, MD,0.5606,Black
24510190300,Mount Clare, Baltimore, MD,0.6305,Black
24510271501,Mount Washington, Baltimore, MD,0.1682,Black
24510270901,New Northwood, Baltimore, MD,0.5036,Black
24510270502,North Harford Road, Baltimore, MD,0.4006,Black
24510270703,North Harford Road, Baltimore, MD,0.3109,Black
24510150600,NW Community Action, Baltimore, MD,0.5275,Black
24510260604,O'Donnell Heights, Baltimore, MD,0.6675,Black
24510120600,Old Goucher, Baltimore, MD,0.6845,Black
24510090900,Oliver, Baltimore, MD,0.624,Black
24510151200,Park Circle, Baltimore, MD,0.4984,Black
24510260202,Parkside, Baltimore, MD,0.4885,Black
24510060100,Patterson Park, Baltimore, MD,0.6204,Black
24510010200,Patterson Park, Baltimore, MD,0.6164,Black
24510261000,Patterson Park, Baltimore, MD,0.615,Black
24510130300,Penn North, Baltimore, MD,0.5815,Black
24510030100,Perkins Homes, Baltimore, MD,0.633,Black
24510270902,Perring Loch, Baltimore, MD,0.4639,Black
24510210200,Pigtown, Baltimore, MD,0.6102,Black
24510210100,Pigtown, Baltimore, MD,0.5201,Black
24510280500,Pleasant View Gardens, Baltimore, MD,0.648,Black
24510180200,Poppleton, Baltimore, MD,0.5015,Black
24510180100,Poppleton, Baltimore, MD,0.4494,Black
24510190200,Pratt Monroe, Baltimore, MD,0.4763,Black
24510271101,Radnor - Winston, Baltimore, MD,0.4016,Black
24510270802,Ramblewood, Baltimore, MD,0.4852,Black
24510280101,Reisterstown Station, Baltimore, MD,0.4727,Black
24510120700,Remington, Baltimore, MD,0.5166,Black
24510130200,Reservoir Hill, Baltimore, MD,0.5621,Black
24510130100,Reservoir Hill, Baltimore, MD,0.5257,Black
24510280402,Rognel Heights, Baltimore, MD,0.4247,Black
24510160700,Rosemont, Baltimore, MD,0.4372,Black
24510200702,Saint Joseph's, Baltimore, MD,0.4852,Black
24510150100,Sandtown-Winchester, Baltimore, MD,0.5667,Black
24510160300,Sandtown-Winchester, Baltimore, MD,0.5614,Black
