tract,Neighborhood,City,State,Teenage Birth Rate,Race
24510270101,Arcadia, Baltimore, MD,0.0494,White
24510260401,Armistead Gardens, Baltimore, MD,0.2887,White
24510260404,Baltimore Highlands, Baltimore, MD,0.4296,White
24510260800,Baltimore Highlands, Baltimore, MD,0.3596,White
24510250101,Beechfield, Baltimore, MD,0.4052,White
24510260302,Belair - Edison, Baltimore, MD,0.1923,White
24510080101,Belair - Edison, Baltimore, MD,0.1774,White
24510260301,Belair - Edison, Baltimore, MD,0.1513,White
24510200300,Bentalou-Smallwood, Baltimore, MD,0.4751,White
24510140100,Bolton Hill, Baltimore, MD,0.2978,White
24510250402,Brooklyn, Baltimore, MD,0.3599,White
24003750201,Brooklyn, Baltimore, MD,0.2726,White
24510250401,Brooklyn, Baltimore, MD,0.241,White
24510060300,Butchers Hill, Baltimore, MD,0.2079,White
24510261100,Canton, Baltimore, MD,0.4059,White
24510010400,Canton, Baltimore, MD,0.3848,White
24510010300,Canton, Baltimore, MD,0.3064,White
24510010100,Canton, Baltimore, MD,0.2486,White
24510260101,Cedmont, Baltimore, MD,0.2492,White
24510272004,Cheswolde, Baltimore, MD,0.05,White
24510260303,Claremont - Freedom, Baltimore, MD,0.1709,White
24510272005,Cross Country, Baltimore, MD,0.0002,White
24510250500,Curtis Bay, Baltimore, MD,0.3929,White
24510110200,Downtown, Baltimore, MD,0.0046,White
24510090300,Ednor Gardens - Lakeside, Baltimore, MD,0.0429,White
24510090200,Ednor Gardens - Lakeside, Baltimore, MD,0.0282,White
24510271400,Evergreen, Baltimore, MD,0.0817,White
24510272007,Fallstaff, Baltimore, MD,0.0069,White
24510020300,Fells Point, Baltimore, MD,0.1978,White
24510260700,Fifteenth Street, Baltimore, MD,0.2279,White
24510260201,Frankford, Baltimore, MD,0.2217,White
24510260102,Frankford, Baltimore, MD,0.2063,White
24510271900,Glen, Baltimore, MD,0.1274,White
24510272006,Glen, Baltimore, MD,0.0003,White
24510270401,Glenham-Belford, Baltimore, MD,0.1828,White
24510270402,Glenham-Belford, Baltimore, MD,0.1648,White
24005402405,Gwynn Oak, Baltimore, MD,0.4364,White
24510280301,Gwynn Oak, Baltimore, MD,0.158,White
24005401302,Gwynn Oak, Baltimore, MD,0.036,White
24510130600,Hampden, Baltimore, MD,0.4029,White
24510130700,Hampden, Baltimore, MD,0.3578,White
24510130804,Hampden, Baltimore, MD,0.3316,White
24510270702,Harford - Echodale - Perring Parkway, Baltimore, MD,0.3465,White
24510270600,Harford - Echodale - Perring Parkway, Baltimore, MD,0.1059,White
24510180300,Hollins Market, Baltimore, MD,0.2852,White
24510271200,Homeland, Baltimore, MD,0.0392,White
24510270801,Idlewood, Baltimore, MD,0.1048,White
24510200800,Irvington, Baltimore, MD,0.142,White
24510260501,Joseph Lee, Baltimore, MD,0.2535,White
24510270804,Lake Walker, Baltimore, MD,0.2272,White
24510250205,Lakeland, Baltimore, MD,0.3025,White
24510270200,Lauraville, Baltimore, MD,0.1806,White
24510270301,Lauraville, Baltimore, MD,0.1092,White
24510270803,Loch Raven, Baltimore, MD,0.2707,White
24510240100,Locust Point, Baltimore, MD,0.3065,White
24510070200,Madison - Eastend, Baltimore, MD,0.4293,White
24510130803,Medfield, Baltimore, MD,0.214,White
24510260605,Medford - Broening, Baltimore, MD,0.328,White
24510271102,Mid-Charles, Baltimore, MD,0.0456,White
24510270805,Mid-Govans, Baltimore, MD,0.1821,White
24510200500,Mill Hill, Baltimore, MD,0.3505,White
24510250303,Morrell Park, Baltimore, MD,0.393,White
24510250206,Morrell Park, Baltimore, MD,0.3239,White
24510190300,Mount Clare, Baltimore, MD,0.3191,White
24510271501,Mount Washington, Baltimore, MD,0.0024,White
24510270703,North Harford Road, Baltimore, MD,0.1304,White
24510270502,North Harford Road, Baltimore, MD,0.0562,White
24510260604,O'Donnell Heights, Baltimore, MD,0.3362,White
24510260202,Parkside, Baltimore, MD,0.1596,White
24510060100,Patterson Park, Baltimore, MD,0.3958,White
24510010200,Patterson Park, Baltimore, MD,0.3289,White
24510261000,Patterson Park, Baltimore, MD,0.3262,White
24510210200,Pigtown, Baltimore, MD,0.4891,White
24510210100,Pigtown, Baltimore, MD,0.3693,White
24510190200,Pratt Monroe, Baltimore, MD,0.3728,White
24510270802,Ramblewood, Baltimore, MD,0.1211,White
24510120700,Remington, Baltimore, MD,0.3912,White
24510240200,Riverside, Baltimore, MD,0.3547,White
24510240300,Riverside, Baltimore, MD,0.3198,White
24510240400,Riverside Park, Baltimore, MD,0.4067,White
24510271300,Roland Park, Baltimore, MD,0.0519,White
24510230200,South Baltimore, Baltimore, MD,0.4035,White
24510230300,South Baltimore, Baltimore, MD,0.3017,White
24510120100,Tuscany - Canterbury, Baltimore, MD,0.0358,White
24510020100,Upper Fells Point, Baltimore, MD,0.4559,White
24510010500,Upper Fells Point, Baltimore, MD,0.3421,White
24510020200,Upper Fells Point, Baltimore, MD,0.2899,White
24510250103,Violetville, Baltimore, MD,0.2489,White
24510270102,Waltherson, Baltimore, MD,0.1375,White
24510270302,Waltherson, Baltimore, MD,0.0949,White
24510280403,Westgate, Baltimore, MD,0.1885,White
24510250301,Westport, Baltimore, MD,0.2963,White
24005402303,Windsor Mill, Baltimore, MD,0.3092,White
24005401506,Windsor Mill, Baltimore, MD,0.2089,White
24005401507,Windsor Mill, Baltimore, MD,0.1816,White
24510130806,Woodberry, Baltimore, MD,0.534,White
24510270501,Woodring, Baltimore, MD,0.1024,White
24510250102,Yale Heights, Baltimore, MD,0.1773,White
