tract,Neighborhood,City,State,Teenage Birth Rate,Race
6075026401,Visitacion Valley, San Francisco, CA,0.6899,Black
6075015400,Laurel Heights, San Francisco, CA,0.5801,Black
6075023300,Bayview, San Francisco, CA,0.5746,Black
6075023103,Bayview, San Francisco, CA,0.5402,Black
6075023003,Bayview, San Francisco, CA,0.4741,Black
6075061400,Potrero Hill, San Francisco, CA,0.4642,Black
6075060502,Sunnydale, San Francisco, CA,0.4484,Black
6075023102,Bayview, San Francisco, CA,0.4481,Black
6075023400,Bayview, San Francisco, CA,0.4458,Black
6075017902,Treasure Island, San Francisco, CA,0.437,Black
6075031202,Ingleside, San Francisco, CA,0.4148,Black
6075025402,Bernal Heights, San Francisco, CA,0.4127,Black
6075031301,Oceanview, San Francisco, CA,0.4039,Black
6075021700,Glen Park, San Francisco, CA,0.4033,Black
6075023200,Bayview, San Francisco, CA,0.3926,Black
6075016300,Western Addition, San Francisco, CA,0.3863,Black
6075016100,Western Addition, San Francisco, CA,0.3853,Black
6075031400,Oceanview, San Francisco, CA,0.3803,Black
6075980600,Bayview, San Francisco, CA,0.3499,Black
6075023001,Bayview, San Francisco, CA,0.3346,Black
6075026402,Visitacion Valley, San Francisco, CA,0.3331,Black
6075061200,Bayview, San Francisco, CA,0.3327,Black
6075016700,Lower Haight, San Francisco, CA,0.3223,Black
6075015500,Japantown, San Francisco, CA,0.3146,Black
6075061000,Bayview, San Francisco, CA,0.3099,Black
6075025900,Excelsior, San Francisco, CA,0.3056,Black
6075016400,Western Addition, San Francisco, CA,0.3052,Black
6075031302,Ingleside Heights, San Francisco, CA,0.3017,Black
6075015801,Fillmore District, San Francisco, CA,0.2931,Black
6075060100,Presidio, San Francisco, CA,0.291,Black
6075026403,Visitacion Valley, San Francisco, CA,0.2888,Black
6075026404,Visitacion Valley, San Francisco, CA,0.2777,Black
6075016802,Hayes Valley, San Francisco, CA,0.2706,Black
6075015900,Fillmore District, San Francisco, CA,0.2558,Black
6075015802,North of the Panhandle, San Francisco, CA,0.2417,Black
6075016801,Lower Haight, San Francisco, CA,0.2337,Black
6075025403,Bernal Heights, San Francisco, CA,0.2284,Black
6075025800,Portola, San Francisco, CA,0.1898,Black
6075031201,Ingleside, San Francisco, CA,0.1141,Black
6075015700,Inner Richmond, San Francisco, CA,0.1068,Black
